t,N45,N32,N35,N36
0,0,0,0,0
15,34.28571429,43.57142857,35.53571429,51.42857143
30,49.10714286,64.28571429,55.71428571,69.10714286
45,58.75,73.57142857,62.67857143,77.85714286
60,68.21428571,80.89285714,70.17857143,84.28571429
75,72.67857143,82.32142857,72.67857143,88.39285714
90,76.78571429,85.53571429,75.53571429,92.32142857
105,80.17857143,88.57142857,77.67857143,95.53571429
120,83.57142857,90.71428571,78.21428571,97.67857143
150,86.78571429,90.89285714,80.71428571,97.85714286
180,88.92857143,90.35714286,80.71428571,97.85714286
210,89.82142857,92.5,80.17857143,98.39285714
